"main_sound","level","hanja","meaning","radical","strokes","total_strokes","unicode_decimal","unicode_hex","unicode_escape"
"가","7급Ⅱ","家","[[['집'], ['가']]]","宀","7","10","23478","5BB6","U+5BB6"
"가","7급","歌","[[['노래'], ['가']]]","欠","10","14","27468","6B4C","U+6B4C"
"가","5급Ⅱ","價","[[['값'], ['가']]]","人","13","15","20729","50F9","U+50F9"
"가","5급","加","[[['더할'], ['가']]]","力","3","5","21152","52A0","U+52A0"
"가","5급","可","[[['옳을'], ['가']]]","口","2","5","21487","53EF","U+53EF"
"가","4급Ⅱ","假","[[['거짓'], ['가']]]","人","9","11","20551","5047","U+5047"
"가","4급Ⅱ","街","[[['거리'], ['가']]]","行","6","12","34903","8857","U+8857"
"가","4급","暇","[[['틈', '겨를'], ['가']]]","日","9","13","26247","6687","U+6687"
"가","3급Ⅱ","佳","[[['아름다울'], ['가']]]","人","6","8","20339","4F73","U+4F73"
"가","3급Ⅱ","架","[[['시렁'], ['가']]]","木","5","9","26550","67B6","U+67B6"
"가","2급","柯","[[['가지'], ['가']]]","木","5","9","26607","67EF","U+67EF"
"가","2급","賈","[[['성(姓)'], ['가']], [['장사'], ['고']]]","貝","6","13","36040","8CC8","U+8CC8"
"가","2급","軻","[[['수레', '사람이름'], ['가']]]","車","5","12","36603","8EFB","U+8EFB"
"가","2급","迦","[[['부처이름'], ['가']]]","辵","5","9","36838","8FE6","U+8FE6"
"가","2급","伽","[[['절'], ['가']]]","人","5","7","20285","4F3D","U+4F3D"
"가","1급","嘉","[[['아름다울'], ['가']]]","口","11","14","22025","5609","U+5609"
"가","1급","呵","[[['꾸짖을'], ['가']]]","口","5","8","21621","5475","U+5475"
"가","1급","嫁","[[['시집갈'], ['가']]]","女","10","13","23233","5AC1","U+5AC1"
"가","1급","稼","[[['심을'], ['가']]]","禾","10","15","31292","7A3C","U+7A3C"
"가","1급","苛","[[['가혹할'], ['가']]]","艸","5","9","33499","82DB","U+82DB"
"가","1급","袈","[[['가사(袈裟)'], ['가']]]","衣","5","11","34952","8888","U+8888"
"가","1급","駕","[[['멍에'], ['가']]]","馬","5","15","39381","99D5","U+99D5"
"가","1급","哥","[[['성(姓)'], ['가']]]","口","7","10","21733","54E5","U+54E5"
"가","특급Ⅱ","痂","[[['헌데딱지'], ['가']]]","疒","5","10","30146","75C2","U+75C2"
"가","특급Ⅱ","珂","[[['옥이름'], ['가']]]","玉","5","9","29634","73C2","U+73C2"
"가","특급Ⅱ","茄","[[['가지'], ['가']]]","艸","5","9","33540","8304","U+8304"
"가","특급Ⅱ","訶","[[['꾸짖을'], ['가']]]","言","5","12","35382","8A36","U+8A36"
"가","특급Ⅱ","跏","[[['책상다리할'], ['가']]]","足","5","12","36303","8DCF","U+8DCF"
"가","특급Ⅱ","枷","[[['칼', '도리깨'], ['가']]]","木","5","9","26551","67B7","U+67B7"
"가","특급","斝","[[['옥잔'], ['가']]]","斗","8","12","26013","659D","U+659D"
"가","특급","葭","[[['갈대'], ['가']], [['멀'], ['하']]]","艸","9","13","33901","846D","U+846D"
"가","특급","檟","[[['가나무'], ['가']]]","木","13","17","27295","6A9F","U+6A9F"
"가","특급","哿","[[['가할'], ['가']]]","口","7","10","21759","54FF","U+54FF"
"가","특급","珈","[[['머리꾸미개'], ['가']]]","玉","5","9","29640","73C8","U+73C8"
"각","6급Ⅱ","各","[[['각각'], ['각']]]","口","3","6","21508","5404","U+5404"
"각","6급Ⅱ","角","[[['뿔'], ['각']]]","角","0","7","35282","89D2","U+89D2"
"각","4급","刻","[[['새길'], ['각']]]","刀","6","8","21051","523B","U+523B"
"각","4급","覺","[[['깨달을'], ['각']]]","見","13","20","35258","89BA","U+89BA"
"각","3급Ⅱ","脚","[[['다리'], ['각']]]","肉","7","11","33050","811A","U+811A"
"각","3급Ⅱ","閣","[[['집'], ['각']]]","門","6","14","38307","95A3","U+95A3"
"각","3급","却","[[['물리칠'], ['각']]]","卩","5","7","21364","5374","U+5374"
"각","2급","珏","[[['쌍옥'], ['각']]]","玉","5","9","29647","73CF","U+73CF"
"각","1급","恪","[[['삼갈'], ['각']]]","心","6","9","24682","606A","U+606A"
"각","1급","殼","[[['껍질'], ['각']]]","殳","8","12","27580","6BBC","U+6BBC"
"각","특급Ⅱ","慤","[[['정성', '삼갈'], ['각']]]","心","11","15","24932","6164","U+6164"
"각","특급","桷","[[['서까래'], ['각']]]","木","7","11","26743","6877","U+6877"
"각","특급","卻","[[['물리칠'], ['각']]]","卩","7","9","21371","537B","U+537B"
"간","7급Ⅱ","間","[[['사이'], ['간']]]","門","4","12","38291","9593","U+9593"
"간","4급","簡","[[['대쪽', '간략할'], ['간']]]","竹","12","18","31777","7C21","U+7C21"
"간","4급","看","[[['볼'], ['간']]]","目","4","9","30475","770B","U+770B"
"간","4급","干","[[['방패'], ['간']]]","干","0","3","24178","5E72","U+5E72"
"간","3급Ⅱ","刊","[[['새길'], ['간']]]","刀","3","5","21002","520A","U+520A"
"간","3급Ⅱ","幹","[[['줄기'], ['간']]]","干","10","13","24185","5E79","U+5E79"
"간","3급Ⅱ","懇","[[['간절할'], ['간']]]","心","13","17","25031","61C7","U+61C7"
"간","3급Ⅱ","肝","[[['간'], ['간']]]","肉","3","7","32925","809D","U+809D"
"간","3급","姦","[[['간음할'], ['간']]]","女","6","9","23014","59E6","U+59E6"
"간","2급","杆","[[['몽둥이'], ['간']]]","木","3","7","26438","6746","U+6746"
"간","2급","艮","[[['괘이름'], ['간']]]","艮","0","6","33390","826E","U+826E"
"간","1급","奸","[[['간사할'], ['간']]]","女","3","6","22904","5978","U+5978"
"간","1급","墾","[[['개간할'], ['간']]]","土","13","16","22718","58BE","U+58BE"
"간","1급","澗","[[['산골물'], ['간']]]","水","12","15","28567","6F97","U+6F97"
"간","1급","癎","[[['간질'], ['간']]]","疒","12","17","30286","764E","U+764E"
"간","1급","竿","[[['낚싯대'], ['간']]]","竹","3","9","31487","7AFF","U+7AFF"
"간","1급","艱","[[['어려울'], ['간']]]","艮","11","17","33393","8271","U+8271"
"간","1급","諫","[[['간할'], ['간']]]","言","9","16","35563","8AEB","U+8AEB"
"간","1급","揀","[[['가릴'], ['간']]]","手","9","12","25536","63C0","U+63C0"
"간","특급Ⅱ","稈","[[['볏짚'], ['간']]]","禾","7","12","31240","7A08","U+7A08"
"간","특급Ⅱ","磵","[[['시내[澗]'], ['간']]]","石","12","17","30965","78F5","U+78F5"
"간","특급Ⅱ","桿","[[['막대'], ['간']]]","木","7","11","26751","687F","U+687F"
"간","특급Ⅱ","柬","[[['가릴'], ['간']]]","木","5","9","26604","67EC","U+67EC"
"간","특급Ⅱ","侃","[[['강직할'], ['간']]]","人","6","8","20355","4F83","U+4F83"
"간","특급","蕑","[[['난초', '연밥'], ['간']]]","艸","12","16","34129","8551","U+8551"
"간","특급","玕","[[['옥돌'], ['간']]]","玉","3","7","29589","7395","U+7395"
"간","특급","榦","[[['줄기'], ['간']], [['우물난간'], ['한']]]","木","10","14","27046","69A6","U+69A6"
"간","특급","瞯","[[['엿볼'], ['간']], [['곁눈질할'], ['한']]]","目","12","17","30639","77AF","U+77AF"
"간","특급","衎","[[['즐길', '곧을'], ['간']]]","行","3","9","34894","884E","U+884E"
"갈","3급","渴","[[['목마를'], ['갈']]]","水","9","12","28212","6E34","U+6E34"
"갈","2급","葛","[[['칡'], ['갈']]]","艸","9","13","33883","845B","U+845B"
"갈","2급","鞨","[[['오랑캐이름'], ['갈']]]","革","9","18","38824","97A8","U+97A8"
"갈","1급","喝","[[['꾸짖을'], ['갈']]]","口","9","12","21917","559D","U+559D"
"갈","1급","竭","[[['다할'], ['갈']]]","立","9","14","31469","7AED","U+7AED"
"갈","1급","褐","[[['갈색', '굵은베'], ['갈']]]","衣","9","14","35088","8910","U+8910"
"갈","특급Ⅱ","碣","[[['비석'], ['갈']]]","石","9","14","30883","78A3","U+78A3"
"갈","특급Ⅱ","曷","[[['어찌'], ['갈']]]","曰","5","9","26359","66F7","U+66F7"
"갈","특급Ⅱ","乫","[[['땅이름'], ['갈']]]","乙","5","6","20075","4E6B","U+4E6B"
"갈","특급Ⅱ","蝎","[[['전갈'], ['갈']]]","虫","9","15","34638","874E","U+874E"
"갈","특급","秸","[[['볏짚'], ['갈']]]","禾","6","11","31224","79F8","U+79F8"
"감","6급","感","[[['느낄'], ['감']]]","心","9","13","24863","611F","U+611F"
"감","4급Ⅱ","減","[[['덜'], ['감']]]","水","9","12","28187","6E1B","U+6E1B"
"감","4급Ⅱ","監","[[['볼'], ['감']]]","皿","9","14","30435","76E3","U+76E3"
"감","4급","甘","[[['달'], ['감']]]","甘","0","5","29976","7518","U+7518"
"감","4급","敢","[[['감히', '구태여'], ['감']]]","攴","8","12","25954","6562","U+6562"
"감","3급Ⅱ","鑑","[[['거울'], ['감']]]","金","14","22","37969","9451","U+9451"
"감","2급","憾","[[['섭섭할'], ['감']]]","心","13","16","25022","61BE","U+61BE"
"감","1급","堪","[[['견딜'], ['감']]]","土","9","12","22570","582A","U+582A"
"감","1급","柑","[[['귤'], ['감']]]","木","5","9","26577","67D1","U+67D1"
"감","1급","疳","[[['감질'], ['감']]]","疒","5","10","30131","75B3","U+75B3"
"감","1급","瞰","[[['굽어볼'], ['감']]]","目","12","17","30640","77B0","U+77B0"
"감","1급","紺","[[['감색', '연보라'], ['감']]]","糸","5","11","32058","7D3A","U+7D3A"
"감","1급","勘","[[['헤아릴'], ['감']]]","力","9","11","21208","52D8","U+52D8"
"감","특급Ⅱ","嵌","[[['끼울'], ['감']]]","山","9","12","23884","5D4C","U+5D4C"
"감","특급Ⅱ","坎","[[['구덩이'], ['감']]]","土","4","7","22350","574E","U+574E"
"감","특급Ⅱ","橄","[[['감람나무'], ['감']]]","木","12","16","27204","6A44","U+6A44"
"감","특급Ⅱ","鑒","[[['거울[鑑]'], ['감']]]","金","14","22","37970","9452","U+9452"
"감","특급Ⅱ","戡","[[['이길'], ['감']]]","戈","9","13","25121","6221","U+6221"
