gtin,barcodeType,productCategoryCode,productCategoryName,rawProductName,productNameKo,productNameEn,otherProductName,itemName,modelName,productNumber,companyInfo,importType,normalizedProductName,brandName,brandOwnerName,manufacturerName,categoryName,categoryCode,originInfo,specInfo,unitLabel,packageInfo,packageQuantity,netWeight,grossWeight,widthCm,depthCm,heightCm,taxType,productShape,packageMaterial,recycleLabel,isAdultProduct,isChildProduct,storageNotice,marketingText,ingredientText,sourceThumbnailUrl,sourceType,rawPayload,isActive
8801047305064,EAN13,,일배 > 냉장분식 > 냉장만두,동원)F&B개성왕만두,동원)F&B개성왕만두,,,동원)F&B개성왕만두,,,동원(냉장),,동원)F&B개성왕만두,동원,,동원(냉장),일배 > 냉장분식 > 냉장만두,,,630g,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":1,""상품명"":""동원)F&B개성왕만두"",""규격"":""630g"",""바코드"":""8801047305064"",""공급사"":""동원(냉장)"",""매입가"":5184,""판매가"":6500,""특매그룹속성"":""일반그룹"",""특매매입가"":4780,""특매판매가"":5980,""이익율"":20.25,""적립률"":0,""수수료"":0,""재고"":1,""재고액"":5184,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" D"",""대"":""일배"",""중"":""냉장분식"",""소"":""냉장만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2025-03-26 15:52"",""판매가변경일시"":""2025-03-26 15:52"",""최근매입일시"":""2025-10-01 17:54"",""최근실사일시"":"""",""등록일시"":""2024-09-04 13:27"",""수정일시"":""2025-10-01 17:58"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047305125,EAN13,,일배 > 냉장분식 > 냉장만두,동원)개성김치왕만두,동원)개성김치왕만두,,,동원)개성김치왕만두,,,동원(냉장),,동원)개성김치왕만두,동원,,동원(냉장),일배 > 냉장분식 > 냉장만두,,,630g,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":2,""상품명"":""동원)개성김치왕만두"",""규격"":""630g"",""바코드"":""8801047305125"",""공급사"":""동원(냉장)"",""매입가"":4780,""판매가"":5980,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":20.07,""적립률"":0,""수수료"":0,""재고"":1,""재고액"":4780,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" D"",""대"":""일배"",""중"":""냉장분식"",""소"":""냉장만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2025-10-01 18:16"",""판매가변경일시"":""2025-10-01 18:16"",""최근매입일시"":""2025-10-01 17:54"",""최근실사일시"":"""",""등록일시"":""2022-02-19 16:54"",""수정일시"":""2025-10-01 18:17"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047305347,EAN13,,일배 > 즉석식 > 기타,동원)개성왕만두,동원)개성왕만두,,,동원)개성왕만두,,,동원(냉장),,동원)개성왕만두,동원,,동원(냉장),일배 > 즉석식 > 기타,,,350g*2,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":3,""상품명"":""동원)개성왕만두"",""규격"":""350g*2"",""바코드"":""8801047305347"",""공급사"":""동원(냉장)"",""매입가"":5584,""판매가"":7200,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":22.44,""적립률"":0,""수수료"":0,""재고"":0,""재고액"":0,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" Z"",""대"":""일배"",""중"":""즉석식"",""소"":""기타"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2024-06-11 10:18"",""판매가변경일시"":""2024-06-11 10:18"",""최근매입일시"":""2024-12-09 14:00"",""최근실사일시"":"""",""등록일시"":""2024-06-11 10:12"",""수정일시"":""2024-12-09 14:05"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047307082,EAN13,,일배 > 즉석식 > 기타,개성물만두 300g*2,개성물만두 300g*2,,,개성물만두 300g*2,,,동원(냉장),,개성물만두 300g*2,동원,,동원(냉장),일배 > 즉석식 > 기타,,,,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":4,""상품명"":""개성물만두 300g*2"",""규격"":"""",""바코드"":""8801047307082"",""공급사"":""동원(냉장)"",""매입가"":5584,""판매가"":7200,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":22.44,""적립률"":0,""수수료"":0,""재고"":0,""재고액"":0,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" Z"",""대"":""일배"",""중"":""즉석식"",""소"":""기타"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2024-06-11 10:18"",""판매가변경일시"":""2024-06-11 10:18"",""최근매입일시"":""2024-09-04 13:16"",""최근실사일시"":"""",""등록일시"":""2024-06-11 10:12"",""수정일시"":""2024-07-11 20:42"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047308836,EAN13,,일배 > 냉동 > 만두,동원)개성왕교자,동원)개성왕교자,,,동원)개성왕교자,,,동원(냉장),,동원)개성왕교자,동원,,동원(냉장),일배 > 냉동 > 만두,,,608g,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":5,""상품명"":""동원)개성왕교자"",""규격"":""608g"",""바코드"":""8801047308836"",""공급사"":""동원(냉장)"",""매입가"":4000,""판매가"":4980,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":19.68,""적립률"":0,""수수료"":0,""재고"":4,""재고액"":16000,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" D"",""대"":""일배"",""중"":""냉동"",""소"":""만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":"""",""판매가변경일시"":"""",""최근매입일시"":""2025-10-01 17:54"",""최근실사일시"":"""",""등록일시"":""2025-10-01 18:18"",""수정일시"":"""",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047309024,EAN13,,일배 > 냉동 > 만두,동원)개성교자만두고기,동원)개성교자만두고기,,,동원)개성교자만두고기,,,동원(냉장),,동원)개성교자만두고기,동원,,동원(냉장),일배 > 냉동 > 만두,,,600g,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":6,""상품명"":""동원)개성교자만두고기"",""규격"":""600g"",""바코드"":""8801047309024"",""공급사"":""동원(냉장)"",""매입가"":2784,""판매가"":3600,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":22.67,""적립률"":0,""수수료"":0,""재고"":0,""재고액"":0,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" D"",""대"":""일배"",""중"":""냉동"",""소"":""만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2024-06-11 10:18"",""판매가변경일시"":""2024-06-11 10:18"",""최근매입일시"":""2025-03-26 15:51"",""최근실사일시"":""2024-06-08 09:10"",""등록일시"":""2023-08-23 16:18"",""수정일시"":""2025-01-16 13:00"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047309086,EAN13,,일배 > 냉동 > 만두,동원)개성교자만두김치,동원)개성교자만두김치,,,동원)개성교자만두김치,,,동원(냉장),,동원)개성교자만두김치,동원,,동원(냉장),일배 > 냉동 > 만두,,,600g,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":7,""상품명"":""동원)개성교자만두김치"",""규격"":""600g"",""바코드"":""8801047309086"",""공급사"":""동원(냉장)"",""매입가"":2784,""판매가"":3600,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":22.67,""적립률"":0,""수수료"":0,""재고"":0,""재고액"":0,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" D"",""대"":""일배"",""중"":""냉동"",""소"":""만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2024-06-11 10:18"",""판매가변경일시"":""2024-06-11 10:18"",""최근매입일시"":""2025-03-26 15:51"",""최근실사일시"":"""",""등록일시"":""2022-02-19 16:54"",""수정일시"":""2025-03-25 09:23"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047309383,EAN13,,일배 > 냉동 > 만두,동원/개성:왕교자만두 315g+315g,동원/개성:왕교자만두 315g+315g,,,동원/개성:왕교자만두 315g+315g,,,동원(냉장),,동원/개성:왕교자만두 315g+315g,동원,,동원(냉장),일배 > 냉동 > 만두,,,,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":8,""상품명"":""동원/개성:왕교자만두 315g+315g"",""규격"":"""",""바코드"":""8801047309383"",""공급사"":""동원(냉장)"",""매입가"":5184,""판매가"":6650,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":22.05,""적립률"":0,""수수료"":0,""재고"":0,""재고액"":0,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" Z"",""대"":""일배"",""중"":""냉동"",""소"":""만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2024-06-11 10:18"",""판매가변경일시"":""2024-06-11 10:18"",""최근매입일시"":""2024-09-04 13:16"",""최근실사일시"":"""",""등록일시"":""2024-06-11 10:12"",""수정일시"":""2024-07-11 20:43"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047309512,EAN13,,일배 > 냉동 > 만두,동원)개성김치왕교자,동원)개성김치왕교자,,,동원)개성김치왕교자,,,동원(냉장),,동원)개성김치왕교자,동원,,동원(냉장),일배 > 냉동 > 만두,,,608g,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":9,""상품명"":""동원)개성김치왕교자"",""규격"":""608g"",""바코드"":""8801047309512"",""공급사"":""동원(냉장)"",""매입가"":4000,""판매가"":4980,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":19.68,""적립률"":0,""수수료"":0,""재고"":5,""재고액"":20000,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" D"",""대"":""일배"",""중"":""냉동"",""소"":""만두"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":"""",""판매가변경일시"":"""",""최근매입일시"":""2025-10-01 17:54"",""최근실사일시"":"""",""등록일시"":""2025-10-01 18:17"",""수정일시"":"""",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
8801047316190,EAN13,,일배 > 즉석식 > 기타,동원/양반통살고기완자,동원/양반통살고기완자,,,동원/양반통살고기완자,,,동원(냉장),,동원/양반통살고기완자,동원,,동원(냉장),일배 > 즉석식 > 기타,,,425g*2번들,,,0,,,,,,,,,,0,0,,,,,CSV,"{""80"":10,""상품명"":""동원/양반통살고기완자"",""규격"":""425g*2번들"",""바코드"":""8801047316190"",""공급사"":""동원(냉장)"",""매입가"":7984,""판매가"":10250,""특매그룹속성"":"""",""특매매입가"":0,""특매판매가"":0,""이익율"":22.11,""적립률"":0,""수수료"":0,""재고"":0,""재고액"":0,""최소재고"":0,""일매출량"":0,""박스입수"":0,""ABC"":"" Z"",""대"":""일배"",""중"":""즉석식"",""소"":""기타"",""용량"":"""",""단위가격"":"""",""매입가변경일시"":""2024-06-11 10:18"",""판매가변경일시"":""2024-06-11 10:18"",""최근매입일시"":""2024-09-04 13:16"",""최근실사일시"":"""",""등록일시"":""2024-06-11 10:12"",""수정일시"":""2024-06-11 10:19"",""상품설명"":"""",""원산지"":"""",""매대"":0}",1
